X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
37.47512304,-105.8912302,1,0,general,Eric James Wilson,37.47573775,-105.8906432,TwoThousandTen,9602,3,8,960200,8,8003960200
39.72566931,-104.8216792,1,0,general,Olesya N Tsurkina,39.7262851,-104.8220663,TwoThousandTen,818,5,8,81800,8,8005081800
38.96475626,-104.7348908,1,0,general,Rahul Batra,38.9671574,-104.7383102,TwoThousandTen,71.01,41,8,7101,8,8041007101
39.74365703,-104.8368207,1,0,general,Douglas Claiborne Wilson,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.97232748,-104.8192615,1,0,general,Daniel Robert Anderson,39.9727814,-104.819341,TwoThousandTen,86.06,1,8,8606,8,8001008606
39.74365703,-104.8368207,1,0,general,David Christopher Geck,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.68493316,-104.7908531,1,0,general,Ann Marie Macri,39.6853266,-104.7893492,TwoThousandTen,828,5,8,82800,8,8005082800
39.67767,-104.8100462,1,0,general,Matthew John Tobkin,39.6776681,-104.8103458,TwoThousandTen,814,5,8,81400,8,8005081400
37.23190915,-107.8672658,1,0,general,J Ryan Mickelson,37.23002878,-107.8668992,TwoThousandTen,9711,67,8,971100,8,8067971100
39.841497,-105.0532177,1,0,general,Ian Thomas Ferguson,39.8415486,-105.0529063,TwoThousandTen,96.03,1,8,9603,8,8001009603
39.72869326,-104.8282753,1,0,general,Meredith Anne Harris,39.7281518,-104.8277203,TwoThousandTen,76,5,8,7600,8,8005007600
39.53793984,-107.3250019,1,0,general,Ryan Matthew Klumb,39.5375931,-107.3240769,TwoThousandTen,9517.02,45,8,951702,8,8045951702
38.23201069,-104.6246304,1,0,general,Michael Eric Allen,38.2320622,-104.6241691,TwoThousandTen,23,101,8,2300,8,8101002300
39.67722169,-104.7708102,1,0,general,John Ivan Yarovoy,39.6766623,-104.7705201,TwoThousandTen,831,5,8,83100,8,8005083100
39.05637975,-104.824018,1,0,general,Caitlin Elizabeth Miller,39.054867,-104.8241187,TwoThousandTen,72.02,41,8,7202,8,8041007202
40.01528945,-105.1004207,1,0,general,Phillip Gilbert Sanchez,40.0163742,-105.1004026,TwoThousandTen,128,13,8,12800,8,8013012800
38.84792746,-104.8484837,1,0,general,Catherine Diane Guerra,38.84802522,-104.8477338,TwoThousandTen,13.02,41,8,1302,8,8041001302
38.29242895,-104.592076,1,0,general,David Brian Robinson,38.2923564,-104.5918344,TwoThousandTen,9.02,101,8,902,8,8101000902
38.43006363,-105.2319556,1,0,general,Dennis Patrick Driscoll,38.4302488,-105.2321364,TwoThousandTen,9788,43,8,978800,8,8043978800
40.45480459,-105.0804908,1,0,general,Gregory Scott Winslow,40.4545583,-105.0792174,TwoThousandTen,18.09,69,8,1809,8,8069001809
39.75522125,-104.9761151,1,0,general,Lieng Thikim Pham,39.7556443,-104.9756291,TwoThousandTen,24.03,31,8,2403,8,8031002403
39.61332747,-104.990751,1,0,general,Richard John Birkel,39.6135411,-104.9907209,TwoThousandTen,66.01,5,8,6601,8,8005006601
39.7448625,-104.9767238,1,0,general,Thomas L Losacco,39.7450443,-104.9767325,TwoThousandTen,26.02,31,8,2602,8,8031002602
39.84094699,-105.0819873,1,0,general,Jack Francis Emmons,39.8410198,-105.0824372,TwoThousandTen,102.06,59,8,10206,8,8059010206
39.94461193,-104.9403904,1,0,general,Zachary Douglas Nelson,39.9444981,-104.9422554,TwoThousandTen,85.44,1,8,8544,8,8001008544
39.52546343,-104.7661983,1,0,general,Amisha Singh,39.5254602,-104.7669498,TwoThousandTen,139.04,35,8,13904,8,8035013904
39.71162634,-105.053324,1,0,general,Ashley Ann Tucker,39.71200386,-105.0533447,TwoThousandTen,116.02,59,8,11602,8,8059011602
37.28432837,-107.8743517,1,0,general,Daniel Joseph Lotz,37.28405892,-107.874401,TwoThousandTen,9710,67,8,971000,8,8067971000
39.87050158,-104.979999,1,0,general,Nikita Singh,39.8693949,-104.9793948,TwoThousandTen,92.03,1,8,9203,8,8001009203
40.61111769,-103.2208977,1,0,general,Timothy Russell Lemke,40.61112134,-103.2209056,TwoThousandTen,9663,75,8,966300,8,8075966300
39.71865544,-104.9891363,1,0,general,Conny Lou Seiler,39.7186715,-104.9888594,TwoThousandTen,21,31,8,2100,8,8031002100
39.85400602,-105.0816857,1,0,general,Terrence Shea Batliner,39.8543437,-105.081168,TwoThousandTen,98.33,59,8,9833,8,8059009833
39.702006,-105.0251288,1,0,general,Lan Thi Phuong Nguyen,39.7020183,-105.0254771,TwoThousandTen,45.06,31,8,4506,8,8031004506
39.53115137,-104.7669684,1,0,general,Roopindar Kaur Kattaura,39.5312303,-104.7675257,TwoThousandTen,139.04,35,8,13904,8,8035013904
39.74365703,-104.8368207,1,0,general,John William Thousand III,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.74365703,-104.8368207,1,0,general,John William Thousand IV,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.72566931,-104.8216792,1,0,general,Michelle Hwa Yang,39.7262851,-104.8220663,TwoThousandTen,818,5,8,81800,8,8005081800
39.74365703,-104.8368207,1,0,general,Manpreet Singh Sarao,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
40.37745347,-104.7024419,1,0,general,Kevin Charles Hoth,40.3781807,-104.7024223,TwoThousandTen,10.06,123,8,1006,8,8123001006
39.66171245,-104.8441815,1,0,general,Jason R Stott,39.662512,-104.8441795,TwoThousandTen,804,5,8,80400,8,8005080400
39.69932351,-104.9058117,1,0,general,Michael David Holbert,39.6980189,-104.9054092,TwoThousandTen,50.02,31,8,5002,8,8031005002
39.75581649,-104.4300832,1,0,general,Anne Marie Bielinski,39.7555498,-104.4303373,TwoThousandTen,84.01,1,8,8401,8,8001008401
