BOD_Formatted_Name,CensusCountyFips,CensusStateFips,CensusTract,Specialty_keys
-1,0-1,-1,-1,-1
Jeffrey T Marlor,49,8,2.01,general
Andrew Woodruff Burns,49,8,2.01,general
Dennis Lee Simcik,69,8,10.03,general
Blake Hansen Chandler,69,8,17.06,pediatric
Louis Ray Gerken,69,8,17.06,pediatric
Katherine Suzanne Galm,69,8,17.06,pediatric
Ryan Benjamin Taylor,69,8,17.06,pediatric
Michael Andrew Zulian,69,8,17.06,specialist
Tina Lisa Riss,69,8,17.06,hygienist
Shannon Dobelbower Roberts,41,8,33.05,general
Oliver Moritz Spaeth,41,8,33.05,general
