idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"100 SUSSEX AVE,MILFORD,DE,199631823",1,0,0,5,38.93736319,-75.3776511,0,0
1,"1021 GILPIN AVE,WILMINGTON,DE,19806",1,0,0,3,39.7527563,-75.5545655,0,0
2,"1110 N BANCROFT PKWY,WILMINGTON,DE,198052669",0,0,2,3,39.75618513,-75.57086103,0,0
3,"1117 N FRANKLIN ST,WILMINGTON,DE,198064331",1,0,0,3,39.7529783,-75.5597662,0,0
4,"1200 SAVANNAH RD,LEWES,DE,199581525",1,0,0,5,38.73357725,-75.16260565,0,0
5,"1202 FOULK RD,WILMINGTON,DE,19803",1,0,0,3,39.80037323,-75.54212837,0,0
6,"13 SOUTH MAIN STREET,SELBYVILLE,DE,199750348",1,0,0,5,38.47014834,-75.17488963,0,0
7,"1400 PEOPLES PLZ,NEWARK,DE,197025707",0,0,1,3,39.6027038,-75.7502251,0,0
8,"1405 SILVERSIDE RD,WILMINGTON,DE,198104445",0,0,2,3,39.7949825,-75.4898266,0,0
9,"1407 FOULK RD,WILMINGTON,DE,198032762",1,0,0,3,39.80037323,-75.54212837,0,0
10,"1522 S STATE ST,DOVER,DE,199014950",1,0,0,1,39.17152707,-75.47235835,0,0
11,"17 ATLANTIC AVE,OCEAN VIEW,DE,199709115",1,0,0,5,38.56172756,-75.09662214,0,0
12,"17 W GLENWOOD AVE,SMYRNA,DE,199771106",1,0,0,1,39.3028796,-75.6106247,0,0
13,"179 W CHESTNUT HILL RD,NEWARK,DE,197132210",1,0,0,3,39.6538193,-75.7537299,0,0
14,"1805 FOULK RD,WILMINGTON,DE,198103700",1,0,0,3,39.81877903,-75.5064015,0,0
15,"189 SOUTH FAIRFIELD DRIVE,DOVER,DE,199015756",1,0,0,1,39.1235831,-75.5265916,0,0
16,"1981 S STATE ST,DOVER,DE,199015811",1,0,0,1,39.17152707,-75.47235835,0,0
17,"2004 FOULK RD,WILMINGTON,DE,198103641",0,0,1,3,39.81877903,-75.5064015,0,0
18,"212 W MARKET ST,GEORGETOWN,DE,199471441",1,0,0,5,38.6865667,-75.3907091,0,0
19,"214 S WALNUT ST,MILFORD,DE,199631958",1,0,1,5,38.9099938,-75.4288569,0,0
20,"2300 PENNSYLVANIA AVE,WILMINGTON,DE,198061392",3,0,0,3,39.7581757,-75.5720479,0,0
21,"2415 SILVERSIDE RD,WILMINGTON,DE,198104520",2,0,0,3,39.8078687,-75.5139487,0,0
22,"250 BEISER BLVD,DOVER,DE,199047790",0,1,0,1,39.17027325,-75.59488499,0,0
23,"250 BEISER BLVD,DOVER,DE,199047795",2,0,0,1,39.17027325,-75.59488499,0,0
24,"2500 GRUBB RD STE 130,WILMINGTON,DE,198104711",1,0,0,3,39.81877903,-75.5064015,0,0
25,"2500 GRUBB ROAD,WILMINGTON,DE,198104799",0,0,1,3,39.81877903,-75.5064015,0,0
26,"2601 ANNAND DR,WILMINGTON,DE,198083719",1,0,0,3,39.716271,-75.6747787,0,0
27,"28318 DUPONT BLVD UNIT 1,MILLSBORO,DE,19966",1,0,0,5,38.5934589,-75.3103703,0,0
28,"29985 W BARRIER REEF BLVD,LEWES,DE,199586840",0,0,1,5,38.73357725,-75.16260565,0,0
29,"301 S CHAPEL ST,NEWARK,DE,19711",1,0,0,3,39.71404633,-75.73985757,0,0
30,"31 OMEGA DR,NEWARK,DE,197132058",0,0,2,3,39.67077997,-75.71228217,0,0
31,"3105 LIMESTONE RD,WILMINGTON,DE,198082147",1,0,0,3,39.7334838,-75.6695586,0,0
32,"3516 SILVERSIDE RD,WILMINGTON,DE,198104932",1,0,0,3,39.8084391,-75.544251,0,0
33,"3522 SILVERSIDE RD,WILMINGTON,DE,198104911",1,0,0,3,39.8070568,-75.5445815,0,0
34,"3844 KENNETT PIKE STE 206,GREENVILLE,DE,198072305",1,0,0,3,39.7759831,-75.5968767,0,0
35,"385 SAULSBURY RD,DOVER,DE,19904",1,0,0,1,39.1691127,-75.5459649,0,0
36,"4462 SUMMIT BRIDGE RD,MIDDLETOWN,DE,19709",1,0,0,3,39.512415,-75.7122314,0,0
37,"523 CAPITOL TRAIL,NEWARK,DE,19711",1,0,0,3,39.6918621,-75.7268899,0,0
38,"5317 LIMESTONE RD,WILMINGTON,DE,198081252",2,0,0,3,39.7445545,-75.6961515,0,0
39,"537 STANTON CHRISTIANA RD,NEWARK,DE,197132146",1,0,0,3,39.6987544,-75.6529148,0,0
40,"5505 KIRKWOOD HIGHWAY,WILMINGTON,DE,19808",1,0,0,3,39.7166054,-75.6724556,0,0
41,"6 LARCH AVE STE 402,WILMINGTON,DE,19804",1,0,0,3,39.73837745,-75.66521849,0,0
42,"65 N DUPONT HWY,DOVER,DE,199014265",1,0,0,1,39.1653797,-75.5160863,0,0
43,"715 NOTTINGHAM ROAD,NEWARK,DE,19711",1,0,0,3,39.6907765,-75.7780135,0,0
44,"838 WALKER RD,DOVER,DE,199042751",1,0,0,1,39.17006702,-75.54309626,0,0
45,"850 S STATE ST,DOVER,DE,199014113",0,0,1,1,39.17152707,-75.47235835,0,0
46,"882 WALKER RD,DOVER,DE,199042792",1,0,0,1,39.169412,-75.5449432,0,0
47,"900 FOREST ST,DOVER,DE,199043402",1,0,0,1,39.1586598,-75.5392298,0,0
48,"92 READS WAY STE 200,NEW CASTLE,DE,197201631",1,0,0,3,39.64645566,-75.60397164,0,0
49,"92 READS WAY,NEW CASTLE,DE,197201631",1,0,0,3,39.64645566,-75.60397164,0,0
50,"BEAR,DE,19701",3,0,0,3,39.58445162,-75.69932227,0,0
51,"BETHANY BEACH,DE,19930",1,0,0,5,38.54868454,-75.06219094,0,0
52,"CAMDEN WYOMING,DE,19934",2,0,0,1,39.08333726,-75.6290738,0,0
53,"CAMDEN,DE,19934",3,0,0,1,39.08333726,-75.6290738,0,0
54,"CLAYMONT,DE,19703",2,0,0,3,39.80267773,-75.45578383,0,0
55,"DEWEY BEACH,DE,19971",1,0,0,5,38.68681199,-75.09826975,0,0
56,"DOVER,DE,19901",2,1,0,1,39.17152707,-75.47235835,0,0
57,"DOVER,DE,19904",1,0,0,1,39.17027325,-75.59488499,0,0
58,"FELTON,DE,19943",2,0,0,1,39.00552858,-75.60823058,0,0
59,"FRANKFORD,DE,19945",1,0,0,5,38.50479451,-75.22807857,0,0
60,"GEORGETOWN,DE,19947",1,0,0,5,38.67237865,-75.39670155,0,0
61,"HARBESON,DE,19951",1,0,0,5,38.69117849,-75.25449718,0,0
62,"HOCKESSIN,DE,19707",7,0,0,3,39.78602168,-75.68090523,0,0
63,"LEWES,DE,19958",1,0,1,5,38.73357725,-75.16260565,0,0
64,"MAGNOLIA,DE,19962",1,0,0,1,39.07014951,-75.49742647,0,0
65,"MIDDLETOWN,DE,19709",5,0,1,3,39.49001187,-75.6768462,0,0
66,"MILFORD,DE,19963",2,0,0,5,38.93736319,-75.3776511,0,0
67,"NEW CASTLE,DE,19720",1,0,0,3,39.64645566,-75.60397164,0,0
68,"NEWARK,DE,19702",2,0,2,3,39.62228842,-75.72748512,0,0
69,"NEWARK,DE,19711",6,0,0,3,39.71404633,-75.73985757,0,0
70,"NEWARK,DE,19713",4,0,0,3,39.67077997,-75.71228217,0,0
71,"REHOBOTH BEACH,DE,19971",3,1,1,5,38.68681199,-75.09826975,0,0
72,"ROCKLAND,DE,19732",1,0,0,3,39.78389681,-75.57004191,0,0
73,"SEAFORD,DE,19973",0,0,1,5,38.63928818,-75.61580862,0,0
74,"SMYRNA,DE,19977",2,0,1,1,39.29624595,-75.55112949,0,0
75,"THE OMEGA PROFESSIONAL CENTER,NEWARK,DE,19713",0,0,1,3,39.67077997,-75.71228217,0,0
76,"WILMINGTON,DE,19801",1,0,0,3,39.726622,-75.54109664,0,0
77,"WILMINGTON,DE,19803",7,0,0,3,39.80037323,-75.54212837,0,0
78,"WILMINGTON,DE,19806",10,0,2,3,39.76327163,-75.56425872,0,0
79,"WILMINGTON,DE,19807",3,0,0,3,39.79783671,-75.60963623,0,0
80,"WILMINGTON,DE,19808",4,0,2,3,39.73837745,-75.66521849,0,0
81,"WILMINGTON,DE,19810",2,0,0,3,39.81877903,-75.5064015,0,0
