idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1 KRINGLE PLACE BLVD., SUITE A,SANTA CLAUS,IN,475796153",1,0,0,147,38.11402926,-86.91854086,0,0
1,"10 EAST MAIN,GOSPORT,IN,47433",1,0,0,119,39.35590473,-86.65251198,0,0
2,"100 EAST 100 SOUTH,VALPARAISO,IN,46383",0,0,1,127,41.45913684,-87.00337122,0,0
3,"100 S MAIN ST, PO BOX 521,NORTH LIBERTY,IN,46554",1,0,0,141,41.56255321,-86.41896706,0,0
4,"100 WEST VANTREES STREET,WASHINGTON,IN,47501",1,0,0,27,38.65782509,-87.17657064,0,0
5,"1000 WEST JEFFERSON STREET,FRANKLIN,IN,46131",1,0,0,81,39.48001139,-86.06782795,0,0
6,"1001 CHESTNUT HILLS PARKWAY, SUITE #5,FORT WAYNE,IN,468148933",1,0,0,3,41.04590885,-85.3034813,0,0
7,"1001 LAKE SHORE DRIVE,CULVER,IN,46511",1,0,0,99,41.22004667,-86.42692729,0,0
8,"1001 MAIN STREET, SUITE #2W,DYER,IN,46311",1,0,0,89,41.46510275,-87.50891363,0,0
9,"1001 NORTH HICKORY ROAD SUITE 9,SOUTH BEND,IN,46615",1,0,0,141,41.6746589,-86.2115815,0,0
10,"1001 NORTH LAKE SHORE DRIVE,CULVER,IN,465111209",1,0,0,99,41.22004667,-86.42692729,0,0
11,"1001 NORTH MAIN STREET SUITE 2,NAPPANEE,IN,46550",1,0,0,39,41.44617367,-86.00017837,0,0
12,"10010 DUPONT CIRCLE COURT,FORT WAYNE,IN,46825",3,0,0,3,41.15300856,-85.12533699,0,0
13,"10010 DUPONT CIRCLE COURT,FORT WAYNE,IN,468251626",1,0,0,3,41.15300856,-85.12533699,0,0
14,"1002 OAK DRIVE,RICHMOND,IN,47374",1,0,0,177,39.83151026,-84.88907448,0,0
15,"10020 DUPONT CIR CT,STE 150,FORT WAYNE,IN,46825",1,0,0,3,41.15300856,-85.12533699,0,0
16,"10033 WICKER AVE.,SAINT JOHN,IN,46373",1,0,0,89,41.4475505,-87.46886416,0,0
17,"1004 N. MEADOW LANE,MUNCIE,IN,47304",1,0,0,35,40.23310725,-85.46054531,0,0
18,"10047 OLD STATE ROAD 37,TELL CITY,IN,47586",1,0,0,123,38.03704373,-86.69934211,0,0
19,"1005 EAST MAIN STREET,CAMBRIDGE CITY,IN,47327",1,0,0,177,39.83107814,-85.1740745,0,0
20,"1005 NICHOLAS STREET,AUBURN,IN,46706",0,1,0,33,41.36911383,-85.04031926,0,0
21,"1007 NORTH WESTERN AVENUE,MARION,IN,469522503",1,0,0,53,40.57084853,-85.67426706,0,0
22,"1007 S BOEKE RD,EVANSVILLE,IN,47714",1,0,0,163,37.9575658,-87.52114817,0,0
23,"10078 LANTERN ROAD,FISHERS,IN,460374093",0,0,1,57,39.934432,-86.01383201,0,0
24,"10082 ILLINOIS ROAD,FORT WAYNE,IN,46804",1,0,0,3,41.05109388,-85.2405406,0,0
25,"1009 SOUTH JACKSON,FRANKFORT,IN,46041",1,0,0,23,40.29753639,-86.49184863,0,0
26,"101 ACORN DRIVE,GREENCASTLE,IN,46135",1,0,0,133,39.67625347,-86.88449683,0,0
27,"101 N. TERRACE BLVD.,ANGOLA,IN,46703",1,0,0,151,41.65280991,-85.00812936,0,0
28,"1010 EAST 86TH STREET SUITE 13,INDIANAPOLIS,IN,46240",1,0,0,97,39.90687897,-86.1238012,0,0
29,"1010 EAST 86TH STREET, SUITE 15,INDIANAPOLIS,IN,462401801",1,0,1,97,39.90687897,-86.1238012,0,0
30,"1010 SOUTH UNION STREET,WARSAW,IN,465804706",1,0,0,85,41.20808999,-85.86883073,0,0
31,"10106 BROOKS SCHOOL ROAD, SUITE 500,FISHERS,IN,460379809",1,0,0,57,39.94986173,-85.94307928,0,0
32,"1011 MICHIGAN AVENUE,LA PORTE,IN,46350",1,0,0,91,41.60719633,-86.72150669,0,0
33,"1011 MICHIGAN AVENUE,LA PORTE,IN,463503506",1,0,0,91,41.60719633,-86.72150669,0,0
34,"1011 W. WARREN STREET,P. O. BOX 158,MITCHELL,IN,47446",1,0,0,93,38.73823785,-86.51376437,0,0
35,"10120 AUBURN PARK DRIVE,FORT WAYNE,IN,46825",1,0,1,3,41.15300856,-85.12533699,0,0
36,"10130 E. 96TH ST.,FISHERS,IN,46037",1,0,0,57,39.96031782,-85.94718636,0,0
37,"10130 OXFORD PIKE,BROOKVILLE,IN,470129414",2,0,0,47,39.43537926,-84.99399309,0,0
38,"1014 EAST 8TH,ANDERSON,IN,46012",1,0,0,95,40.15000081,-85.62514636,0,0
39,"10140 INDIANAPOLIS BLVD., STE. A ,HIGHLAND,IN,46322",1,0,0,89,41.53444058,-87.47125521,0,0
40,"1015 PROFESSIONAL BLVD.,EVANSVILLE,IN,47714",1,0,0,163,37.96209491,-87.49971721,0,0
41,"10177 ALLISONVILLE ROAD, SUITE 101,FISHERS,IN,460382075",1,0,0,57,39.93519126,-86.05589018,0,0
42,"1019 WEST EADS,LAWRENCEBURG,IN,47025",1,0,0,29,39.15647114,-84.87430565,0,0
43,"102 E 107TH AVE,CROWN POINT,IN,46307",1,0,0,89,41.40257643,-87.32767574,0,0
44,"102 E 107TH ST,CROWN POINT,IN,46307",1,0,0,89,41.40257643,-87.32767574,0,0
45,"102 NORTH HARRISON STREET,SALEM,IN,47167",0,0,1,175,38.60572572,-86.10608623,0,0
46,"102 WEST MARKET STREET,NAPPANEE,IN,46550",1,0,0,39,41.44274304,-86.00133531,0,0
47,"1020 SOUTHAMPTON DRIVE,DECATUR,IN,46733",1,0,0,1,40.83994722,-84.9395393,0,0
48,"10200 WICKER AVE,STE 2,SAINT JOHN,IN,463739439",1,0,0,89,41.4475505,-87.46886416,0,0
49,"10202 COLDWATER RD,SUITE A,FORT WAYNE,IN,46825",1,0,0,3,41.15300856,-85.12533699,0,0
50,"10208 LANTERN ROAD,FISHERS,IN,460379705",1,0,0,57,39.93766853,-86.0138395,0,0
51,"10211 DUPONT CIRCLE DRIVE SUITE A,FORT WAYNE,IN,46825",1,0,0,3,41.15300856,-85.12533699,0,0
52,"10212 ANCHOR WAY,EVANSVILLE,IN,47725",1,0,0,163,38.07070157,-87.51202605,0,0
53,"10215 DUPONT CIRCLE DRIVE WEST,FORT WAYNE,IN,46825",1,0,0,3,41.15300856,-85.12533699,0,0
54,"10216 DUPONT CIRCLE DRIVE EAST,FORT WAYNE,IN,468251611",1,0,0,3,41.15300856,-85.12533699,0,0
55,"10218 CHERRYWOOD LANE,MUNSTER,IN,46321",0,0,1,89,41.54691931,-87.50386725,0,0
56,"1022 WAGON TRAIL,GREENVILLE,IN,47124",1,0,0,43,38.36796226,-86.00831441,0,0
57,"1024 HOLLY LANE,MUNSTER,IN,46321",0,0,1,89,41.54691931,-87.50386725,0,0
58,"1024 LAFAYETTE AVENUE,TERRE HAUTE,IN,47804",1,0,0,167,39.49763484,-87.38972238,0,0
59,"1025 INDIANA AVENUE,LA PORTE,IN,46350",1,0,0,91,41.60719633,-86.72150669,0,0
60,"1028 NORTH KARWICK ROAD,MICHIGAN CITY,IN,46360",1,0,0,91,41.68837344,-86.86941655,0,0
61,"103 E EASTERN HILLS BLVD,SALEM,IN,47167",1,0,0,175,38.59384202,-86.05397503,0,0
62,"1030 COUNTRY CLUB ROAD,INDIANAPOLIS,IN,46234",1,0,0,97,39.77934331,-86.30786387,0,0
63,"10302 ANCHOR WAY,EVANSVILLE,IN,47725",1,0,0,163,38.07166795,-87.51196813,0,0
