idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"10 E. 9TH ST., STE. C/D,LAWRENCE,KS,66044",1,0,0,45,39.02889499,-95.20855765,0,0
1,"100 NW 2ND ST.,ABILENE,KS,67410",1,0,0,41,38.9558362,-97.22133273,0,0
2,"1001 CODY AVE.,HAYS,KS,67601",1,0,0,51,38.87753127,-99.3483178,0,0
3,"10023 MACKEY CIRCLE,OVERLAND PARK,KS,66212",1,0,0,91,38.95634682,-94.68148349,0,0
4,"10040 WOODLAND RD,LENEXA,KS,66220",1,0,0,91,38.94620505,-94.81622842,0,0
5,"10044 WOODLAND RD.,LENEXA,KS,66220",0,0,1,91,38.94613433,-94.81622864,0,0
6,"10049 CRAIG,OVERLAND PARK,KS,66212",1,0,0,91,38.95634682,-94.68148349,0,0
7,"1005 S. BURRUS ST.,WICHITA,KS,67207",0,1,0,173,37.6696385,-97.2338521,0,0
8,"1008 NEW BOSTON CT,LAWRENCE,KS,66049",1,0,0,45,38.9641585,-95.3193261,0,0
9,"1008 TAMARISK DR,LEAVENWORTH,KS,66048",1,0,0,103,39.28287382,-94.99411241,0,0
10,"101 S MCGEE,CANEY,KS,67333",1,0,0,125,37.0467079,-95.88106331,0,0
11,"10100 MOHAWK LN.,LEAWOOD,KS,66206",0,0,1,91,38.94537112,-94.62683876,0,0
12,"10100 SW DIAMOND RD,AUGUSTA,KS,67010",1,0,0,15,37.662434,-96.97275802,0,0
13,"10111 E 21ST NORTH STE 102,WICHITA,KS,67206",1,0,0,173,37.70384998,-97.22534417,0,0
14,"10111 E 21ST ST N STE 102,WICHITA,KS,67220",1,0,0,173,37.75161037,-97.27923722,0,0
15,"10116 W 121ST STREET,OVERLAND PARK,KS,66213",1,0,0,91,38.89918891,-94.70539419,0,0
16,"1012 E. 29TH,HAYS,KS,67601",0,0,1,51,38.87753127,-99.3483178,0,0
17,"10124 W 119TH ST.,, SUITE B,OVERLAND PARK,KS,66213",1,0,0,91,38.89918891,-94.70539419,0,0
18,"1016 SW DARTMOOR LANE,TOPEKA,KS,66604",1,0,0,177,39.0500739,-95.7322801,0,0
19,"1017 LOBDELL DR.,MANHATTAN,KS,66503",1,0,0,161,39.171688,-96.6306049,0,0
20,"1017 SW GAGE,  STE. C,TOPEKA,KS,66604",1,0,0,177,39.03888225,-95.72662623,0,0
21,"102 W. 14TH ST.,CHANUTE,KS,66720",1,0,0,133,37.64834928,-95.45980421,0,0
22,"102 W. KANSAS AVE.,ARKANSAS CITY,KS,67005",1,0,0,35,37.0782856,-97.040405,0,0
23,"10203 LEAVENWORTH RD.,KANSAS CITY,KS,66109",1,0,0,209,39.14300426,-94.81193671,0,0
24,"10220 E. LAKEFRONT,WICHITA,KS,67206",1,0,0,173,37.70384998,-97.22534417,0,0
25,"10243 W 21ST ST. NORTH, STE 101,WICHITA,KS,67205",1,0,0,173,37.74991083,-97.42253093,0,0
26,"103 ROADRUNNER LN,HUTCHINSON,KS,67502",1,0,0,155,38.09236207,-97.93466086,0,0
27,"10311 E. STONEGATE,WICHITA,KS,67206",0,0,1,173,37.70384998,-97.22534417,0,0
28,"1034 N. HWY. 69,FRONTENAC,KS,66763",1,0,0,37,37.46061622,-94.69820717,0,0
29,"1035 N. EMPORIA, STE. 265,WICHITA,KS,67214",1,0,0,173,37.70173316,-97.33305371,0,0
30,"10351 MASTIN ST.,OVERLAND PARK,KS,66212",1,0,0,91,38.95634682,-94.68148349,0,0
31,"1037 SHERIDAN STREET,GREAT BEND,KS,67530",1,0,0,9,38.35285861,-98.79362307,0,0
32,"1038 W. ASH ST.,JUNCTION CITY,KS,66441",1,0,0,61,38.98511109,-96.80308619,0,0
33,"104 E. MAIN ST.,MULVANE,KS,67110",1,0,0,191,37.46854939,-97.22640617,0,0
34,"104 W 20TH ST., SUITE 3,EUDORA,KS,66025",1,0,0,45,38.89757329,-95.08853863,0,0
35,"10400 W. 103RD ST., STE. 21,OVERLAND PARK,KS,66214",1,0,0,91,38.96386704,-94.71419442,0,0
36,"10405 LEE BLVD,LEAWOOD,KS,66206",0,0,1,91,38.95802515,-94.61934594,0,0
37,"10408 S RIDGEVIEW RD,OLATHE,KS,66061",1,0,0,91,38.94072162,-94.79756683,0,0
38,"10411 E SUMMERFIELD CIR,WICHITA,KS,67206",0,0,1,173,37.7144675,-97.2163113,0,0
39,"10415 W 168TH TER,OVERLAND PARK,KS,66221",1,0,0,91,38.86361197,-94.71027848,0,0
40,"10437 E. FAWN GROVE CT.,WICHITA,KS,67207",1,0,0,173,37.6733092,-97.2162072,0,0
41,"10443 S. OAKCREST LANE,OLATHE,KS,66061",1,0,0,91,38.93853768,-94.90000563,0,0
42,"1046 S BEDFORD TERR,WICHITA,KS,67207",1,0,0,173,37.6690334,-97.2012067,0,0
