idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"#3 DOGWOOD DRIVE,-,COVINGTON,LA,70433",1,0,0,103,30.4632755,-90.13838778,0,0
1,"1 SPINNAKER LANE,-,NEW ORLEANS,LA,70124",1,0,0,71,30.00747479,-90.10378911,0,0
2,"1 STONES THROW,UNIT 1,BATON ROUGE,LA,70809",0,0,1,33,30.39381137,-91.07113188,0,0
3,"10 ANNANDALE COURT,-,NEW ORLEANS,LA,70131",1,0,0,71,29.908168,-89.96118401,0,0
4,"10 CAMDEN COURT,-,MANDEVILLE,LA,70471",1,0,0,103,30.40717269,-90.06229677,0,0
5,"100 PECAN STREET,-,THIBODAUX,LA,70301",0,0,1,57,29.81409891,-90.74088905,0,0
6,"100 SHAUNELL DRIVE,-,MANDEVILLE,LA,70448",1,0,0,103,30.3627876,-90.03943653,0,0
7,"100 SMART PLACE,-,SLIDELL,LA,70458",1,0,0,103,30.25867638,-89.7943979,0,0
8,"1000 GIROD ST,-,NEW ORLEANS,LA,70113",1,0,0,71,29.94302187,-90.08307358,0,0
9,"1000 RIVER COURT,-,MANDEVILLE,LA,70448",1,0,0,103,30.3627876,-90.03943653,0,0
10,"1001 TERRY LANE,-,LAKE CHARLES,LA,70605",1,0,0,19,30.13065066,-93.2736644,0,0
11,"1001-A EAST 7TH STREET,-,THIBODEAUX,LA,70301",0,0,1,57,29.81409891,-90.74088905,0,0
12,"1001-B EAST 7TH STREET,-,THIBODAUX,LA,70301",1,0,0,57,29.81409891,-90.74088905,0,0
13,"10028 JEFFERSON HIGHWAY,-,BATON ROUGE,LA,70809",1,0,0,33,30.4094745,-91.0726164,0,0
14,"10042 TOULOUSE DRIVE,-,SHREVEPORT,LA,71106",1,0,0,17,32.38562804,-93.73633478,0,0
15,"10045 JOEL AVENUE,-,RIVER RIDGE,LA,70123",1,0,0,51,29.95088008,-90.20512872,0,0
16,"1007 WEST THOMAS,SUITE E,HAMMOND,LA,70401",1,0,0,105,30.52824685,-90.45682296,0,0
17,"101 LAFITTE ALLEY,-,SLIDELL,LA,70461",1,0,0,103,30.23552908,-89.71581345,0,0
18,"101 MCARTHUR CT,-,YOUNGSVILLE,LA,70592",1,0,0,55,30.1171723,-91.9848917,0,0
19,"101 OCEAN CLIFF LANE,-,LAFAYETTE,LA,70508",1,0,0,55,30.15547194,-92.02857129,0,0
20,"101 W. MARTIAL AVENUE,-,LAFAYETTE,LA,70508",1,0,0,55,30.1653282,-92.0412874,0,0
21,"101 W. ROBERT E. LEE BLVD.,SUITE 305,NEW ORLEANS,LA,70124",1,0,0,71,30.00747479,-90.10378911,0,0
