idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1 GLORY RIDGE RD,FALMOUTH,ME,04105-1472",1,0,1,5,43.74251057,-70.27156317,0,0
1,"1 PEARL ST,CAMDEN,ME,04843-1919",1,0,0,13,44.20849686,-69.069305,0,0
2,"1 VA CTR,AUGUSTA,ME,04330-6719",1,0,0,11,44.36395615,-69.73741474,0,0
3,"1 VA CTR,AUGUSTA,ME,04330-6795",1,0,0,11,44.36395615,-69.73741474,0,0
4,"1 WILLOW RUN # 1-B,AUBURN,ME,04210-8501",1,0,0,1,44.10165015,-70.23172362,0,0
5,"1 WILLOW RUN UNIT 1-B,AUBURN,ME,04210-8501",1,0,0,1,44.10165015,-70.23172362,0,0
6,"10 BERRY FARM RD,BRUNSWICK,ME,04011-7451",1,0,0,5,43.87522649,-69.99655188,0,0
7,"10 DEEPWOOD DR,PORTLAND,ME,04103-3782",1,0,0,5,43.71074788,-70.27926509,0,0
8,"10 EVERETT ST,BRUNSWICK,ME,04011-2404",1,0,0,5,43.91357763,-69.96571942,0,0
9,"10 FOREST FALLS DR STOP 7,YARMOUTH,ME,04096-4900",1,0,0,5,43.8034938,-70.18312105,0,0
10,"10 OAK PL UNIT B,BIDDEFORD,ME,04005-3413",1,0,0,31,43.48805688,-70.45258951,0,0
11,"10 PLAZA DR STE 201,SCARBOROUGH,ME,04074-1801",0,0,1,5,43.58773658,-70.36445445,0,0
12,"10 REVERE ST,LEWISTON,ME,04240-4313",0,1,0,1,44.09126738,-70.18397239,0,0
13,"10 W BROADWAY,BANGOR,ME,04401-4540",1,0,0,19,44.80320637,-68.78311637,0,0
14,"1006 FOREST AVE,PORTLAND,ME,04103-3387",1,0,0,5,43.6817352,-70.29010539,0,0
15,"101 MARGARET ST APT D,SOUTH PORTLAND,ME,04106-2050",1,0,0,5,43.64005675,-70.24495096,0,0
16,"1019 BUCK HILL DR,VEAZIE,ME,04401-7009",1,0,0,19,44.84881843,-68.72041185,0,0
17,"102 COURT STREET,CASTINE,ME,04421-0878",1,0,0,9,44.40875336,-68.81163405,0,0
18,"102 WESTERN AVE,AUGUSTA,ME,04330-7241",1,0,0,11,44.31229385,-69.79084742,0,0
19,"104 MEADOW RIDGE DR APT 5,HERMON,ME,04401-1168",1,0,0,19,44.8492268,-68.84472802,0,0
20,"105 OVERLOCK RD,LEVANT,ME,04456-4512",1,0,0,19,44.8541551,-68.99989687,0,0
21,"1060 COMMERCIAL ST STE 2,ROCKPORT,ME,04856-3801",1,0,0,13,44.13090176,-69.09411194,0,0
22,"1060 US ROUTE 1,YORK,ME,03909-0323",1,0,0,31,43.16616951,-70.67858208,0,0
23,"1095 MEETINGHOUSE RD,WELLS,ME,04090-6146",1,0,0,31,43.32650882,-70.63299831,0,0
24,"11 BENNER DR,BELFAST,ME,04915-7526",1,0,0,27,44.41583514,-69.07692288,0,0
25,"11 GIFFORDS POINT RD,RAYMOND,ME,04071-6690",1,0,0,5,43.90829709,-70.46710944,0,0
26,"110 CANAL ST,LEWISTON,ME,04240-7710",1,0,0,1,44.09547307,-70.21759089,0,0
27,"110 MAIN ST STE 1218,SACO,ME,04072-3516",1,0,0,31,43.50144885,-70.44253564,0,0
28,"110 MARGINAL WAY # 724,PORTLAND,ME,04101-2442",1,0,0,5,43.66240658,-70.26461014,0,0
29,"110 MYRTLE ST,WESTBROOK,ME,04092-3018",1,0,0,5,43.68444923,-70.36326604,0,0
30,"12 EMILE ST,LEWISTON,ME,04240-1822",1,0,0,1,44.09485671,-70.15621848,0,0
31,"12 HERON COVE DR,SOUTH PORTLAND,ME,04106-2093",1,0,0,5,43.6361062,-70.30975313,0,0
32,"12 HIDDEN BROOK DR,GORHAM,ME,04038-1571",2,0,0,5,43.70339371,-70.45805411,0,0
33,"12 KOORBANO LN,WINDHAM,ME,04062-3328",0,0,1,5,43.77137779,-70.36053757,0,0
34,"12 PARK ST,WATERVILLE,ME,04901-6039",0,0,1,11,44.55141673,-69.63460635,0,0
35,"12 WINTERHAVEN DR,ORONO,ME,04473-3678",1,0,0,19,44.89103086,-68.67821372,0,0
36,"1201 GATEWAY CIR,SCARBOROUGH,ME,04074-5524",2,0,0,5,43.58773658,-70.36445445,0,0
37,"122 HIGH ST,FARMINGTON,ME,04938-1928",1,0,0,7,44.65891911,-70.10332309,0,0
38,"122 HUNTER WAY,FALMOUTH,ME,04105-2669",1,0,0,5,43.78411298,-70.32640125,0,0
39,"12207 GATEWAY CT,SCARBOROUGH,ME,04074-5557",1,0,0,5,43.58773658,-70.36445445,0,0
40,"1230 SHORE RD,CAPE ELIZABETH,ME,04107-2123",1,0,0,5,43.59739452,-70.22217432,0,0
41,"1232 SHORE RD # A,CAPE ELIZABETH,ME,04107-2123",2,0,0,5,43.59739452,-70.22217432,0,0
42,"1250 CONGRESS ST STE 2,PORTLAND,ME,04102-2167",1,0,0,5,43.6575031,-70.2911459,0,0
43,"1250 FOREST AVE STE 3B,PORTLAND,ME,04103-1889",1,0,0,5,43.68931078,-70.29548021,0,0
