idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0," 120 SISTERPIERRE DRIVE-SUITE #301,-,TOWSON,MD,21204.0",1,0,0,5,39.388989,-76.6074024,0,0
1," 1403 BERMUDA DUNES COURT,-,BOWIE,MD,20721.0",0,1,0,33,38.9092655,-76.8255515,0,0
2," 15224 MIDDLEGATE RD,-,SILVER SPRING,MD,20905.0",1,0,0,31,39.11190608,-76.99288989,0,0
3,"1 BANK ST,SUITE 110,GAITHERSBURG,MD,20878.0",1,0,0,31,39.11260648,-77.25137162,0,0
4,"1 BANK STREET - SUITE 240,-,GAITHERSBURG,MD,20878.0",0,0,1,31,39.11260648,-77.25137162,0,0
5,"1 BANK STREET,,SUITE 101,GAITHERSBURG,MD,20878.0",1,0,0,31,39.11260648,-77.25137162,0,0
6,"1 BANK STREET,SUITE 110,GAITHERSBURG,MD,20878.0",1,0,0,31,39.11260648,-77.25137162,0,0
7,"1 BARRINGTON PL. STE. 101,-,BEL AIR,MD,21014.0",1,0,0,25,39.5056742,-76.3285554,0,0
8,"1 BEL AIR SOUTH PARKWAY,SUITE F-1,BEL AIR,MD,21015.0",1,0,0,25,39.4981262,-76.3259305,0,0
9,"1 CAITLINS COURT,-,WINDSOR MILL,MD,21244.0",1,0,0,5,39.33305622,-76.78033639,0,0
10,"1 DENTAL RD,-,EDGEWATER,MD,21037.0",1,0,0,3,38.9377703,-76.56558,0,0
11,"1 HIGHSTEPPER COURT,APT. 305,BALTIMORE,MD,21208.0",0,0,1,5,39.3899748,-76.7276915,0,0
12,"1 LAURNIC DRIVE,-,REISTERSTOWN,MD,21136.0",1,0,0,5,39.4504757,-76.8461037,0,0
13,"1 NEW FOREST COURT,-,TOWSON,MD,21286.0",1,0,0,5,39.4067735,-76.5661188,0,0
14,"1 NORTH FIRST STREET,-,INDIAN HEAD,MD,20640.0",1,0,0,17,38.55911934,-77.16351206,0,0
15,"1 PITTS ST,-,BERLIN,MD,21811.0",1,0,0,47,38.32019215,-75.21800557,0,0
16,"1 PITTS ST.,-,BERLIN,MD,21811.0",1,0,0,47,38.32019215,-75.21800557,0,0
17,"1 SUMMER RUN CT,-,TIMONIUM,MD,21093.0",1,0,0,5,39.4388909,-76.6065868,0,0
18,"1 VILLAGE SQUARE - SUITE #130,-,BALTIMORE,MD,21210.0",0,0,1,510,39.35808132,-76.63430238,0,0
19,"10 BLUESTEM CT, APT, SUITE, BLDG. (OPTIONAL,-,OWINGS MILLS,MD,21117.0",1,0,0,5,39.42711666,-76.77713379,0,0
20,"10 BRENT COURT,-,POTOMAC,MD,20854.0",1,0,0,31,39.0012563,-77.2226767,0,0
21,"10 CROSSROADS DRIVE-SUITE 203,-,OWINGS MILLS,MD,21117.0",1,0,0,5,39.42711666,-76.77713379,0,0
22,"10 EXECUTIVE PARK COURT,-,GERMANTOWN,MD,20874.0",1,0,0,31,39.1805392,-77.2739219,0,0
23,"10 FAIRWOOD VIEW COURT,-,PHOENIX,MD,21131.0",1,0,0,5,39.5141536,-76.5994068,0,0
24,"10 FILA WAY, STE. 201B,-,SPARKS,MD,21152.0",0,0,1,5,39.54829425,-76.6819152,0,0
25,"10 LIGHT STREET UNIT 1002,-,BALTIMORE,MD,21202.0",1,0,0,510,39.29649118,-76.60739656,0,0
26,"10 N. GREENE STREET,-,BALTIMORE,MD,21201.0",1,0,0,510,39.29479445,-76.62222831,0,0
27,"10 NEW PLANT CT,-,OWINGS MILLS,MD,21117.0",1,0,0,5,39.42711666,-76.77713379,0,0
28,"10 W. ALL SAINTS SE, APT 208,-,FREDERICK,MD,21701.0",1,0,0,21,39.44603006,-77.33500192,0,0
29,"10 W. MONTGOMERY STREET,-,BALTIMORE,MD,21230.0",1,0,0,510,39.280044,-76.614965,0,0
30,"10 WARREN ROAD - SUITE #330,-,COCKEYSVILLE,MD,21030.0",1,0,0,5,39.49191213,-76.66770005,0,0
31,"10 WATER STREET,-,THURMONT,MD,21788.0",1,0,0,21,39.59280329,-77.41914975,0,0
32,"10 WEST BROADWAY,-,BEL AIR,MD,21014.0",1,0,0,25,39.53661119,-76.35168277,0,0
33,"10,000 FALLS ROAD - SUITE 214,-,POTOMAC,MD,20854.0",0,0,1,31,39.03372289,-77.22047634,0,0
34,"100 1ST ST., APT 214,-,ROCKVILLE,MD,20851.0",2,0,0,31,39.07847059,-77.12183397,0,0
35,"100 ELLERSLIE COURT,-,DENTON,MD,21629.0",1,0,0,11,38.88179674,-75.83408357,0,0
36,"100 SHAWAN RD,APT 350,HUNT VALLEY,MD,21030.0",1,0,0,5,39.49191213,-76.66770005,0,0
37,"100 SHAWAN ROAD #254,-,HUNT VALLEY,MD,21030.0",0,0,1,5,39.49191213,-76.66770005,0,0
