idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0," 2 BENJAMIN PL,CHESTNUT HILL,MA,02467",0,1,0,21,42.31649135,-71.16117033,0,0
1," 209 HARVARD ST - SUITE 402,BROOKLINE,MA,02446",1,0,0,21,42.33958993,-71.12087891,0,0
2,"0 GOVERNORS AVE - SUITE 1,MEDFORD,MA,02155",1,0,0,17,42.42323097,-71.10881968,0,0
3,"0 GOVERNORS AVE - SUITE 20-21,MEDFORD,MA,02155",1,0,0,17,42.42323097,-71.10881968,0,0
4,"1  SCOBEE  CIRCLE,PLYMOUTH,MA,02360",1,0,0,23,41.88322597,-70.63064821,0,0
5,"1 APPLE BLOSSON WAY,CANTON,MA,02021",1,0,0,21,42.16330289,-71.15995386,0,0
6,"1 ARROWHEAD LANE,WESTBOROUGH,MA,01581",0,0,1,27,42.26814582,-71.61403759,0,0
7,"1 ARTHUR AVE,MARBLEHEAD,MA,01945",1,0,0,9,42.49500274,-70.88302752,0,0
8,"1 BAYWOOD DR,SHIRLEY,MA,01464",1,0,0,17,42.57340133,-71.64834845,0,0
9,"1 BEAVER DAM DR,WESTFORD,MA,01886",1,0,0,17,42.58839287,-71.4343217,0,0
10,"1 BILLINGS RD - SUITE 101,QUINCY,MA,02171",1,0,0,21,42.27271067,-71.02670384,0,0
11,"1 BRADISH LN,WESTBOROUGH,MA,01581",1,0,0,27,42.26814582,-71.61403759,0,0
12,"1 BRIARWOOD LN,WINCHESTER,MA,01890",0,0,1,17,42.45177958,-71.14632419,0,0
13,"1 BROOKLINE PLACE ,SUITE 505,BROOKLINE,MA,02445",0,0,1,21,42.32594942,-71.13406844,0,0
14,"1 BROOKLINE PLACE,SUITE 420,BROOKLINE,MA,02445",0,0,1,21,42.32594942,-71.13406844,0,0
15,"1 CALDWELL STREET,NORTH WEYMOUTH,MA,02191",1,0,0,21,42.25694762,-70.93452407,0,0
16,"1 CANAL ST.,APT. 531,BOSTON,MA,02114",1,0,0,25,42.36315455,-71.06730346,0,0
17,"1 CHARLES STREET SOUTH 3 D,APARTMENT # 3D,BOSTON,MA,02116",1,0,0,25,42.3515583,-71.0674322,0,0
18,"1 CHESTNUT STREET,NATICK,MA,01760",1,0,0,17,42.29400084,-71.34824356,0,0
19,"1 CHRYSLER RD - APT 712,NATICK,MA,01760",2,0,0,17,42.305089,-71.38208928,0,0
20,"1 CITYVIEW LANE - UNIT 708,QUINCY,MA,02169",1,0,0,21,42.24825666,-71.00182692,0,0
21,"1 CLOVER STREET,BELMONT,MA,02478",1,0,0,17,42.39116102,-71.1763993,0,0
22,"1 COMMON STREET,SUITE B,NATICK,MA,01760",1,0,0,17,42.28435729,-71.34981066,0,0
23,"1 CORMEY CIRCLE,RANDOLPH,MA,02368",1,0,0,21,42.17696916,-71.05342171,0,0
24,"1 CRANE PARK DR,WILBRAHAM,MA,01095",1,0,0,13,42.12168136,-72.43040621,0,0
25,"1 CROWN DR - UNIT 104,QUINCY,MA,02169",1,0,0,21,42.24825666,-71.00182692,0,0
26,"1 E PLEASANT ST,APT #516,AMHERST,MA,01002",1,0,0,15,42.37921611,-72.51968309,0,0
27,"1 EAST MAIN ST,NORTHBOROUGH,MA,01532",1,0,0,27,42.32339245,-71.63171027,0,0
28,"1 EAST MAIN STREET,NORTHBOROUGH,MA,01532",1,0,0,27,42.32339245,-71.63171027,0,0
29,"1 EMERSON PLACE - APT 15Q,BOSTON,MA,02114",2,0,0,25,42.36412752,-71.06882698,0,0
30,"1 FRANKLIN ST - APT 3509,BOSTON,MA,02110",0,0,1,25,42.3557766,-71.0595256,0,0
31,"1 FRANKLIN STREET,APT. 2102,BOSTON,MA,02110",1,0,0,25,42.3557766,-71.0595256,0,0
32,"1 GIBSON TER,APT D,CAMBRIDGE,MA,02138",1,0,0,17,42.3758183,-71.1326237,0,0
33,"1 GREAT ROCK RD,LEXINGTON,MA,02421",1,0,0,17,42.41891588,-71.20997282,0,0
34,"1 HERITAGE DR.,BERKLEY,MA,02779",1,0,0,5,41.8393459,-71.0478088,0,0
35,"1 HICKS COVE LANE,WESTPORT,MA,02790",1,0,0,5,41.59764169,-71.08284022,0,0
36,"1 HOLLIS STREET,SUITE 140,WELLESLEY,MA,02482",1,0,0,21,42.29383541,-71.30001271,0,0
37,"1 HOSPITAL RD,OAK BLUFFS,MA,02557",1,0,0,7,41.44171163,-70.57395793,0,0
38,"1 HUNTINGTON AVE,TRINITY DENTAL,BOSTON,MA,02116",1,0,0,25,42.348784,-71.078009,0,0
39,"1 INDIA STREET, APT. 3A,BOSTON,MA,02109",1,0,0,25,42.36487543,-71.05288597,0,0
40,"1 INN ST,NEWBURYPORT,MA,01950",1,0,0,9,42.8123784,-70.88784988,0,0
41,"1 JANE ST,SHREWSBURY,MA,01545",1,0,0,27,42.28422394,-71.71553358,0,0
42,"1 JAY LANE,ACTON,MA,01720",1,0,0,17,42.48424291,-71.43801133,0,0
43,"1 KNEELAND ST - ROOM 646B,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
44,"1 KNEELAND ST 15TH FLOOR,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
45,"1 KNEELAND ST,RM 618,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
46,"1 KNEELAND ST.,BOSTON,MA,02111",0,0,1,25,42.35072,-71.06272,0,0
47,"1 KNEELAND ST.,TUFTS DENTAL -DEPARTMENT OF PERIO,BOSTON,MA,02111",0,0,1,25,42.35072,-71.06272,0,0
48,"1 KNEELAND STREET,BOSTON,MA,02111",1,0,1,25,42.35072,-71.06272,0,0
49,"1 KNEELAND STREET,ENDODONTICS DEPARTMENT,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
50,"1 KNEELAND STREET,RM 354,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
51,"1 KNEELAND STREET,TUFTS UNIV. SCHOOL OF DENTAL MEDICINE,BOSTON,MA,02111",1,0,0,25,42.35072,-71.06272,0,0
52,"1 LONGFELLOW PLACE ,APT. 2214,BOSTON,MA,02114",1,0,0,25,42.3636375,-71.0647767,0,0
53,"1 LONGFELLOW PLACE ,APT. 819,BOSTON,MA,02114",0,1,0,25,42.3636375,-71.0647767,0,0
54,"1 LONGFELLOW PLACE,APT. 2820,BOSTON,MA,02114",1,0,0,25,42.3636375,-71.0647767,0,0
55,"1 LYONS WAY,ATTLEBORO FALLS,MA,02763",4,0,1,5,41.9666873,-71.30744686,0,0
56,"1 MAIN ST,PEABODY,MA,01960",1,0,0,9,42.52469606,-70.92478758,0,0
57,"1 MAIN STREET,PEABODY,MA,01960",1,0,0,9,42.52469606,-70.92478758,0,0
58,"1 MOHEGAN PLACE,WESTFORD,MA,01886",1,0,0,17,42.58642149,-71.44007132,0,0
59,"1 MORRISON AVENUE,WAKEFIELD,MA,01880",1,0,0,17,42.50111203,-71.08716694,0,0
60,"1 NASHUA ST - APT 1812,BOSTON,MA,02114",1,0,0,25,42.36315455,-71.06730346,0,0
61,"1 NASHUA ST - APT 3502,BOSTON,MA,02114",1,0,0,25,42.36315455,-71.06730346,0,0
62,"1 NASHUA STREET,APT. 1305,BOSTON,MA,02114",1,0,0,25,42.36315455,-71.06730346,0,0
63,"1 NASHUA STREET,APT. 1506,BOSTON,MA,02114",1,0,0,25,42.36315455,-71.06730346,0,0
64,"1 NASSAU ST - APT 1605,BOSTON,MA,02111",0,0,1,25,42.35013318,-71.05910467,0,0
65,"1 NASSAU ST - UNIT #1902,BOSTON,MA,02111",1,0,0,25,42.35013318,-71.05910467,0,0
66,"1 NASSAU ST.,UNIT 2009,BOSTON,MA,02111",1,0,0,25,42.35013318,-71.05910467,0,0
67,"1 NASSAU STREET ,APT. 2103,BOSTON,MA,02130",0,0,1,25,42.30986205,-71.11487518,0,0
68,"1 NASSAU STREET,APT. 1005,BOSTON,MA,02111",1,0,0,25,42.35013318,-71.05910467,0,0
