idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1 JACKSON CREEK RD #2248,MONTANA CITY,MT,59634",1,0,0,43,46.54044333,-111.9490252,0,0
1,"100 ROCKY POINT ROAD #G4,MISSOULA,MT,59808",0,1,0,63,46.98298749,-114.0961263,0,0
2,"100 S MERRILL AVE,GLENDIVE,MT,59330",1,0,0,21,47.10430173,-104.713705,0,0
3,"100 S. SUNDAY CREEK DR.,MILES CITY,MT,59301",0,1,0,17,46.29019653,-105.7612678,0,0
4,"100 VILLAGE LN,BIGFORK,MT,59911",1,0,0,47,47.88145028,-113.8689458,0,0
5,"1001 SW HIGGINS STE 106,MISSOULA,MT,59803",1,0,0,63,46.79392494,-113.9628103,0,0
6,"1001 SW HIGGINS,SUITE 103,MISSOULA,MT,59801",1,0,0,63,46.856306,-114.014892,0,0
7,"10013 MILLER CREEK RD,MISSOULA,MT,59803",1,0,0,63,46.78437834,-113.9935122,0,0
8,"101 WESTVIEW PARK PLACE,KALISPELL,MT,59901",1,0,0,29,48.22815319,-114.3822181,0,0
9,"1045 N 27TH ST,BILLINGS,MT,59101",1,0,0,111,45.6140107,-108.3867035,0,0
10,"105 BLACKTAIL COURT,BUTTE,MT,59701",0,0,1,93,46.03411151,-112.4670928,0,0
11,"105 BLUECREST DR,KALISPELL,MT,59901",0,0,1,29,48.22815319,-114.3822181,0,0
12,"1050 N MERIDIAN RD,KALISPELL,MT,59901",1,0,0,29,48.20910868,-114.3311204,0,0
13,"1053 SHAWNEE TRL,PO BOX 763,BIGFORK,MT,59911",1,0,0,29,48.10247736,-114.0731388,0,0
14,"107 AGNES AVE,MISSOULA,MT,59801",1,0,0,63,46.84316945,-113.9979031,0,0
15,"109 7TH AVENUE SE,CUT BANK,MT,59427",1,0,0,35,48.62947638,-112.327181,0,0
16,"109 BEN HOGAN DR,MISSOULA,MT,59803",0,1,0,63,46.79392494,-113.9628103,0,0
17,"109 BEN HOGAN DRIVE,MISSOULA,MT,59803",1,0,0,63,46.79392494,-113.9628103,0,0
18,"1096 OAK PARK DR,BOZEMAN,MT,59715",1,0,0,31,45.82851189,-110.9099734,0,0
19,"110 GLENWOOD DR,UNIT D,KALISPELL,MT,59901",1,0,0,29,48.22815319,-114.3822181,0,0
20,"110 WEST NICKLAUS AVE,KALISPELL,MT,59901",1,0,0,29,48.22674683,-114.2991483,0,0
21,"1116 WEST MAIN ST,HAMILTON,MT,59840",0,0,1,81,46.1856052,-114.189456,0,0
22,"112 WEST LEWIS,LIVINGSTON,MT,59047",1,0,0,67,45.54819094,-110.5689503,0,0
23,"1125 W KAGY BLVD.,STE 303,BOZEMAN,MT,59715",1,0,0,31,45.82851189,-110.9099734,0,0
24,"1125 WEST KAGY BLVD,STE 200,BOZEMAN,MT,59715",1,0,0,31,45.82851189,-110.9099734,0,0
25,"11479 HUGHES CT,LOLO,MT,59847",1,0,0,63,46.76132665,-114.0650886,0,0
26,"115 COMMONS WAY,STE 101,KALISPELL,MT,59901",0,0,1,29,48.22815319,-114.3822181,0,0
27,"115 W KAGY BLVD STE H,BOZEMAN,MT,59715",0,0,1,31,45.82851189,-110.9099734,0,0
28,"116 N AVE E,MISSOULA,MT,59801",1,0,0,63,46.856306,-114.014892,0,0
29,"116073 N. BUXTON RD.,BUTTE,MT,59750",1,0,0,93,45.94798115,-112.6946954,0,0
30,"119 CANVAS COURT,BOZEMAN,MT,59715",1,0,0,31,45.82851189,-110.9099734,0,0
31,"12 OWL HOOT RIDGE,CLANCY,MT,59634",1,0,0,43,46.46892778,-111.9746104,0,0
32,"120 SANCTUARY RD,KALISPELL,MT,59901",1,0,0,29,48.19715893,-114.2827026,0,0
33,"1201 LANDONS WAY,MISSOULA,MT,59803",1,0,0,63,46.82936825,-114.0143468,0,0
34,"121 MILL STREAM ROAD,LEWISTOWN,MT,59457",1,0,0,27,47.05757075,-109.4154441,0,0
35,"121 N LAST CHANCE GULCH STE E,HELENA,MT,59601",1,0,0,49,46.5397752,-112.1765275,0,0
36,"121 N LAST CHANCE GULCH STE. F,HELENA,MT,59601",1,0,0,49,46.5397752,-112.1765275,0,0
37,"121 WEST KAGY,BOZEMAN,MT,59715",1,0,0,31,45.82851189,-110.9099734,0,0
38,"122 2ND ST SE,SIDNEY,MT,59270",1,0,0,83,47.57595341,-104.0807194,0,0
39,"1221 S HIGGINS AVE,MISSOULA,MT,59801",0,0,1,63,46.85893503,-113.9976712,0,0
40,"1226 STONERIDGE DR,BOZEMAN,MT,59718",3,0,0,31,45.578232,-111.1264581,0,0
41,"123 MICHELLE LN.,LIBBY,MT,59923",1,0,0,53,48.26415552,-115.3228724,0,0
42,"124 1ST AVE W,KALISPELL,MT,59901",1,0,0,29,48.19674786,-114.3148167,0,0
43,"1241 N TRANSTECH WAY,BILLINGS,MT,59102",0,0,1,111,45.74652755,-108.5981657,0,0
44,"125 COMMONS WAY # 1,KALISPELL,MT,59901",0,0,1,29,48.22094987,-114.3299853,0,0
45,"1289 GOVERNORS BLVD,BILLINGS,MT,59105",1,0,0,111,45.88273553,-108.5058709,0,0
46,"1300 S RESERVE ST STE C,MISSOULA,MT,59801",0,0,1,63,46.856306,-114.014892,0,0
47,"1301 12TH AVE SOUTH,GREAT FALLS,MT,59405",1,0,0,13,47.30522323,-111.289215,0,0
48,"1301 12TH AVE SOUTH,SOUTH #100,GREAT FALLS,MT,59405",1,0,0,13,47.30522323,-111.289215,0,0
49,"1308 MADERA DR,GREAT FALLS,MT,59404",1,0,0,13,47.63052847,-111.3470878,0,0
50,"1360 NELSON RD.,BOZEMAN,MT,59718",1,0,0,31,45.74637497,-111.0810048,0,0
51,"14 AVANTA WAY STE A,BILLINGS,MT,59102",1,0,0,111,45.77565196,-108.5802012,0,0
52,"1405 DEWEY BLVD,BUTTE,MT,59701",0,0,1,93,46.03411151,-112.4670928,0,0
53,"145 GREENBRIAR DR,KALISPELL,MT,59901",0,0,1,29,48.22815319,-114.3822181,0,0
