idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1000 AGATE WAY,FERNLEY,NV,89408",1,0,0,19,39.5640873,-119.1716194,0,0
1,"1000 N GREEN VALLEY PKWY,SUITE 440-132 ,HENDERSON,NV,89074",1,0,0,3,36.0287547,-115.084158,0,0
2,"1000 S. RAMPART BLVD,13,LAS VEGAS,NV,89145",1,0,0,3,36.16044987,-115.2898493,0,0
3,"10000 WEST SAHARA,#110,LAS VEGAS,NV,89117",0,0,1,3,36.1425951,-115.2799852,0,0
4,"1001 PROVIDENCE LN,BOULDER CITY,NV,89005",1,0,0,3,35.95993792,-114.8459734,0,0
5,"1001 SHADOW LN,LAS VEGAS,NV,89106",1,0,0,3,36.18168022,-115.1632493,0,0
6,"1001 SHADOW LN,MS 7415,LAS VEGAS,NV,89106",1,0,0,3,36.18168022,-115.1632493,0,0
7,"1001 WHITNEY RANCH DR,110,HENDERSON,NV,89014",1,0,0,3,36.07872734,-115.0534912,0,0
8,"10010 W CHEYENNE AVE,#140 ,LAS VEGAS,NV,89129",1,0,0,3,36.23331299,-115.2901504,0,0
9,"10030 GOLD CUP LANE,RENO,NV,89521",1,0,0,31,39.38093349,-119.6859243,0,0
10,"10040 W CHEYENNE AVE,#170-182,LAS VEGAS,NV,89129",2,0,0,3,36.23331299,-115.2901504,0,0
11,"10042 LIBERTY VIEW ROAD,LAS VEGAS,NV,89148",1,0,0,3,36.08056241,-115.3122859,0,0
12,"1005 NORTH HILLS BLVD,RENO,NV,89506",1,0,0,31,39.70139586,-119.8228272,0,0
13,"10075 S EASTERN AVE,107,HENDERSON,NV,89052",1,0,0,3,36.0052816,-115.1129726,0,0
14,"1010 CAUGHLIN CROSSING,RENO,NV,89519",1,0,0,31,39.50050204,-119.8596194,0,0
15,"1012 DOMNUS LANE #206,UNIT 206,LAS VEGAS,NV,89144",1,0,0,3,36.17888673,-115.3207649,0,0
16,"10120 S EASTERN AVE,#375 ,HENDERSON,NV,89052",2,0,0,3,36.0063037,-115.111192,0,0
17,"10170 W TROPICANA AVE,STE 155 ,LAS VEGAS,NV,89147",1,0,0,3,36.10023729,-115.3111842,0,0
18,"10175 W TWAIN AVE,SUITE 120 ,LAS VEGAS",1,0,0,3,36.12253954,-115.3145197,0,0
19,"10175 W. TWAIN AVE.,,SUITE 110,LAS VEGAS,NV,89147",1,0,0,3,36.1127948,-115.280099,0,0
20,"1022 NEVADA HWY,#200,BOULDER CITY,NV,89005",0,1,0,3,35.98792474,-114.8227536,0,0
21,"10300 W CHARLESTON BLVD,#13316 ,LAS VEGAS,NV,89135",1,0,0,3,36.16054835,-115.320934,0,0
22,"10410 SOUTH EASTERN AVE,200,HENDERSON,NV,89052",1,0,0,3,36.0019814,-115.1074091,0,0
23,"10420 S DECATUR BLVD STE 110,SUITE 110 ,LAS VEGAS,NV,89141",0,0,1,3,36.00010062,-115.2076332,0,0
24,"10420 S DECATUR BLVD SUITE 110,LAS VEGAS,NV,89141",1,0,0,3,36.00010062,-115.2076332,0,0
25,"10420 S DECATUR BLVD,STE 110,LAS VEGAS,NV,89141",1,0,0,3,36.00010062,-115.2076332,0,0
26,"10433 ORKINEY DRIVE ,LAS VEGAS ,NV,89144",0,0,1,3,36.16999296,-115.3242655,0,0
27,"10447 DOUBLE R BLVD,RENO,NV,89521",1,0,0,31,39.4303786,-119.7540209,0,0
28,"10455 DOUBLE R BLVD,RENO,NV,89521",0,1,0,31,39.4299219,-119.7535244,0,0
29,"10455 DOUBLE R BLVD,STE 101,RENO,NV,89521",1,0,0,31,39.4299219,-119.7535244,0,0
30,"10473 DOUBLE R BLVD,RENO,NV,89521",1,0,0,31,39.42976062,-119.7544448,0,0
31,"10473 DOUBLE R BLVD.,RENO,NV,89521",1,0,0,31,39.42976062,-119.7544448,0,0
32,"10474 MINERS GULCH AVE,LAS VEGAS,NV,89135",0,0,1,3,36.14888652,-115.3215769,0,0
33,"10479 FOGGY GLEN AVE,LAS VEGAS,NV,89135",1,0,0,3,36.14472409,-115.3216286,0,0
34,"1050 CRYSTAL HEIGHTS COURT,HENDERSON,NV,89002",1,0,0,3,35.9965733,-114.96712,0,0
35,"1050 WELLNESS PL,#632,HENDERSON,NV,89011",1,0,0,3,36.0767612,-115.0300244,0,0
36,"10521 JEFFREYS ST , #200 ,HENDERSON,NV,89052",1,0,0,3,36.0004198,-115.1199155,0,0
37,"10524 SPARKS SUMMIT LN,LAS VEGAS,NV,89166",1,0,0,3,36.38066915,-115.5069119,0,0
38,"10540 SOUTHERN HIGHLANDS PKWY.,#100,LAS VEGAS,NV,89141",1,0,0,3,35.98844606,-115.2070427,0,0
39,"10545 S EASTERN AVE,#140 ,HENDERSON,NV,89052",1,0,0,3,35.9990679,-115.1069619,0,0
40,"1055 NORTH HILLS BLVD,RENO,NV,89506",1,0,0,31,39.70139586,-119.8228272,0,0
41,"10595 DOUBLE R BLVD,RENO,NV,89521",1,0,0,31,39.4285899,-119.7531378,0,0
42,"106 TALL RUFF DR.,LAS VEGAS,NV,89148",1,0,0,3,36.03830254,-115.2900703,0,0
43,"10624 S EASTERN AVE,#N ,HENDERSON,NV,89052",2,0,0,3,35.9990188,-115.1021678,0,0
44,"1064 RIVERVIEW DRIVE,GARDNERVILLE,NV,89460",1,0,0,5,38.91387746,-119.7184294,0,0
45,"1070 W HORIZON RIDGE PKWY,#121 ,HENDERSON,NV,89012",1,0,0,3,36.0220222,-115.0310555,0,0
46,"1070 W HORIZON RIDGE PKWY,STE 121,HENDERSON,NV,89012",1,0,0,3,36.0220222,-115.0310555,0,0
47,"1070 W. HORIZON RIDGE PKWY,120,HENDERSON,NV,89012",1,0,0,3,36.0220222,-115.0310555,0,0
48,"10730 S EASTERN AVE,#100 ,HENDERSON,NV,89052",0,0,1,3,35.9979227,-115.1012684,0,0
