idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1 BIRCH ST,DERRY,NH,3038",1,0,0,15,42.88895765,-71.27959284,0,0
1,"1 BRICKYARD SQUARE, SUITE 5,EPPING,NH,3042",1,0,0,15,43.0500588,-71.07479015,0,0
2,"1 COURT ST,STE 270,LEBANON,NH,3766",1,0,0,9,43.6346602,-72.23719882,0,0
3,"1 DELAHUNTY DR #2,WINDHAM,NH,3087",1,0,0,15,42.80763207,-71.29933223,0,0
4,"1 DELTA DR.,CONCORD,NH,3302",0,0,1,13,43.23387,-71.55967,0,0
5,"1 DELTA DRIVE,CONCORD,NH,3302",0,0,1,13,43.23387,-71.55967,0,0
6,"1 GREENFIELD DR,SOMERSWORTH,NH,3878",1,0,0,17,43.24706822,-70.8998429,0,0
7,"1 HAMPTON RD #305,EXETER,NH,3833",1,0,0,15,42.97760747,-70.91663603,0,0
8,"1 LIMBO LN,AMHERST,NH,3031",1,0,0,11,42.87043383,-71.60807497,0,0
9,"1 MANOR PARKWAY,SALEM,NH,3079",1,0,0,15,42.79021101,-71.22018223,0,0
10,"1 MEDICAL CENTER DRIVE,LEBANON,NH,3756",1,0,0,9,43.637006,-72.252383,0,0
11,"1 OVERLOOK DR STE A3,AMHERST,NH,3031",1,0,0,11,42.82010371,-71.6071303,0,0
12,"1 PILLSBURY ST #203A,CONCORD,NH,3301",1,0,0,13,43.19095836,-71.5360251,0,0
13,"1 STILES RD STE 102,SALEM,NH,3079",1,0,0,15,42.77545695,-71.24985297,0,0
14,"1 SUMMER COURT,HANOVER,NH,3755",1,0,0,9,43.71772782,-72.18955791,0,0
15,"1 TRAFALGAR SQ,STE 103,NASHUA,NH,3063",1,0,0,11,42.78658875,-71.50679014,0,0
16,"1 TRAFALGAR SQUARE STE 103,NASHUA,NH,3063",1,0,0,11,42.78658875,-71.50679014,0,0
17,"1 TRAFALGAR SQUARE STE 201,NASHUA,NH,3063",0,0,1,11,42.78658875,-71.50679014,0,0
18,"1 TRAFALGER SQUARE,SUITE 201,NASHUA,NH,3063",0,0,1,11,42.78658875,-71.50679014,0,0
19,"1 TREMONT ST,CLAREMONT,NH,3743",0,0,1,19,43.37236188,-72.33770561,0,0
20,"1 TREMONT ST.,CLAREMONT,NH,3743",1,0,0,19,43.37236188,-72.33770561,0,0
21,"10 COMMERCIAL ST,CONCORD,NH,3301",1,0,0,13,43.21616531,-71.53893305,0,0
22,"10 MATHES TERRACE,DURHAM,NH,3824",2,0,0,17,43.11743392,-70.91967784,0,0
23,"10 POLIQUIN DR,NASHUA,NH,3062",0,0,1,11,42.7070321,-71.4805325,0,0
24,"100 BRIDGE ST,PELHAM,NH,3076",0,2,0,11,42.73354284,-71.32402328,0,0
25,"100 BRIDGE ST,PO BOX 728,PELHAM,NH,30760728",1,0,0,11,42.73354284,-71.32402328,0,0
26,"100 BRIDGE ST.,PELHAM,NH,3076",0,0,1,11,42.73354284,-71.32402328,0,0
27,"100 CAMPUS DR #12,PORTSMOUTH,NH,3801",1,0,0,15,43.04258218,-70.77794263,0,0
28,"100 CAMPUS DR STE 12,PORTSMOUTH,NH,3801",1,0,0,15,43.04258218,-70.77794263,0,0
29,"100 CAMPUS DR,PORTSMOUTH,NH,3801",1,0,0,15,43.04258218,-70.77794263,0,0
30,"100 CAMPUS DR., SUITE 12,PORTSMOUTH,NH,3801",1,0,0,15,43.04258218,-70.77794263,0,0
31,"1000 ISLINGTON ST,PORTSMOUTH,NH,3801",2,0,0,15,43.06686549,-70.77436192,0,0
32,"101 SHATTUCK WAY #2,PORTSMOUTH,NH,3801",1,0,0,15,43.07294552,-70.80517896,0,0
33,"101 SHATTUCK WAY #3,PORTSMOUTH,NH,3801",1,0,0,15,43.07294552,-70.80517896,0,0
