idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0," 1201 N STONEWALL AVENUE,OKC,OK,73117",1,0,0,109,35.48380409,-97.49309363,0,0
1,"10 W BROADWAY,SAND SPRINGS,OK,74063",1,0,0,143,36.1504198,-96.19612423,0,0
2,"1000 S. DENVER AVE. #6303,TULSA,OK,74119",1,0,0,143,36.14656327,-95.99241314,0,0
3,"1001 24TH AVE. NW,NORMAN,OK,73069",1,0,0,27,35.24963606,-97.46290905,0,0
4,"1001 SW 89TH STREET,OKC,OK,73139",2,0,0,109,35.38472458,-97.52560132,0,0
5,"10010 E 81ST STREET #200,TULSA,OK,74133",1,0,0,143,36.04147571,-95.87939787,0,0
6,"10016 S MINGO, STE. B,TULSA,OK,74133",1,0,0,143,36.04147571,-95.87939787,0,0
7,"1002 4TH ST.,CHATTANOOGA,OK,73528",1,0,0,33,34.4043183,-98.63493409,0,0
8,"1004 MEDICAL PARK BLVD.,EDMOND,OK,73013",0,0,1,109,35.6364473,-97.4974065,0,0
9,"1005 KATHYS PLACE,ELK CITY,OK,73644",1,0,0,9,35.41852209,-99.43894123,0,0
10,"1007 WEST OAK AVENUE,DUNCAN,OK,73533",1,0,0,137,34.49773555,-97.85431394,0,0
11,"1009 PARKWOODS DRIVE,NOBLE,OK,73068",1,0,0,27,35.1390441,-97.28285849,0,0
12,"101 NE 53RD ST. APT 2619,OKC,OK,73105",1,0,0,109,35.5268193,-97.5094133,0,0
13,"1011 E TAFT STREET,SAPULPA,OK,74066",1,0,0,37,35.99284691,-96.16456198,0,0
14,"1011 E TAFT,SAPULPA,OK,74006",0,0,1,147,36.71431145,-95.89223109,0,0
15,"10124-A S SHERIDAN ROAD,TULSA,OK,74133",1,0,0,143,36.01693425,-95.90432731,0,0
16,"10127 S YALE AVENUE,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
17,"10130 S MEMORIAL DRIVE,TULSA,OK,74133",1,0,0,143,36.04147571,-95.87939787,0,0
18,"1014 N DOUGLAS DRIVE,CLAREMORE,OK,74017",1,0,0,131,36.3150417,-95.59086076,0,0
19,"1016 NW 42ND,OKC,OK,73118",1,0,0,109,35.51831174,-97.52952955,0,0
20,"102 WOODS DRIVE,NOBLE,OK,73068",1,0,0,27,35.1390441,-97.28285849,0,0
21,"1020 18TH ST,WOODWARD,OK,73801",1,0,0,153,36.47875397,-99.43641553,0,0
22,"10200 BERRYWOOD DR.,OKC,OK,73151",1,0,0,109,35.5675787,-97.41109329,0,0
23,"1022 W MAIN STREET,DUNCAN,OK,73533",1,0,0,137,34.49773555,-97.85431394,0,0
24,"1025 STRAKA TERRACE,OKC,OK,73139",1,0,0,109,35.3880448,-97.5340707,0,0
25,"103 S DORITY STREET,STIGLER,OK,74462",1,0,0,61,35.28317476,-95.15534809,0,0
26,"10351 STONE GATE DRIVE,ARCADIA,OK,73007",1,0,0,109,35.6881508,-97.3479875,0,0
27,"1036 NW 13TH ST.,MOORE,OK,73160",1,0,0,27,35.33209043,-97.47542585,0,0
28,"104 EAST MCELROY,STILLWATER,OK,74075",1,0,0,119,36.17189944,-97.07904734,0,0
29,"104 W 41ST STREET,SAND SPRINGS,OK,74063",1,0,0,143,36.1504198,-96.19612423,0,0
30,"1040 NE 36TH STREET,OKC,OK,73111",1,0,0,109,35.5188345,-97.47716669,0,0
31,"1049 NE 12TH AVE #100,NORMAN,OK,73071",1,0,0,27,35.23900768,-97.41140987,0,0
32,"105 NORTH MAIN STREET,EUFAULA,OK,74432",1,0,0,91,35.28441747,-95.65652781,0,0
33,"10507 E 91ST ST #340,TULSA,OK,74133",1,0,0,143,36.04147571,-95.87939787,0,0
34,"1057 NW GRAND BLVD.,OKC,OK,73118",1,0,0,109,35.531594,-97.5286233,0,0
35,"106 ATLAS AVE.,OOLOGAH,OK,74053",1,0,0,131,36.44423317,-95.70933006,0,0
36,"10610 E. ERIE AVE.,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
37,"10613 CANYON CREST DR.,EDMOND,OK,73025",1,0,0,83,35.7643578,-97.5117835,0,0
38,"10708 N WESTERN AVE., STE. B,OKC,OK,73114",1,0,0,109,35.57926714,-97.53091173,0,0
39,"10717 N ROCKWELL,OKC,OK,73162",1,0,0,109,35.58110818,-97.64144401,0,0
40,"10821 N MACARTHUR,OKC,OK,73162",1,0,0,109,35.58110818,-97.64144401,0,0
41,"109 N CREEKDALE DR.,NORMAN,OK,73072",1,0,0,27,35.2178861,-97.4966278,0,0
42,"10914 HEFNER POINT DR #300,OKC,OK,73120",0,0,1,109,35.58114916,-97.58337907,0,0
43,"10914 HEFNER POINTE #300,OKC,OK,73120",0,0,1,109,35.58042305,-97.57223397,0,0
44,"10914 HEFNER POINTE DR #150,OKC,OK,73120",1,0,0,109,35.58114916,-97.58337907,0,0
45,"10914 HEFNER POINTE DR STE. #300,OKC,OK,73120",1,0,0,109,35.58114916,-97.58337907,0,0
46,"10914 HEFNER POINTE DRIVE, STE. #300,OKC,OK,73120",2,0,0,109,35.58114916,-97.58337907,0,0
47,"110 CAMBRIDGE ROAD,FT. GIBSON,OK,74434",1,0,0,101,35.8085133,-95.21266283,0,0
48,"110 SIMPSON STREET,ALTUS,OK,73521",1,0,0,65,34.64080854,-99.31606153,0,0
49,"1100 W BLUE STARR DR,CLAREMORE,OK,74017",1,0,0,131,36.32200012,-95.62379182,0,0
50,"11016 QUAIL CREEK ROAD,OKC,OK,73120",1,0,0,109,35.581303,-97.5680877,0,0
51,"1102 E. 11TH ST.,SAND SPRINGS,OK,74063",1,0,0,143,36.1504198,-96.19612423,0,0
52,"1105 BEDFORD DR.,NICHOLS HILLS,OK,73116",2,0,0,109,35.54633317,-97.56416266,0,0
53,"1106 NW BECONTREE DRIVE,LAWTON,OK,73505",1,0,0,31,34.6212332,-98.4894505,0,0
54,"1109 HWY 70 N,KINGSTON,OK,73439",1,0,0,95,33.9455144,-96.75690959,0,0
55,"1109 SURREY DRIVE,ARDMORE,OK,73401",1,0,0,19,34.20306698,-97.11482152,0,0
56,"1110 SHERWOOD LAND APT 217,NICHOLS HILLS,OK,73116",1,0,0,109,35.54633317,-97.56416266,0,0
57,"1110 WALNUT DRIVE,ARDMORE,OK,73401",1,0,0,19,34.1861125,-97.14903572,0,0
58,"11101 HEFNER POINTE DRIVE,OKC,OK,73120",1,0,0,109,35.58305347,-97.584272,0,0
59,"1111 W MAIN STREET,COLLINSVILLE,OK,74021",1,0,0,143,36.38241729,-95.847903,0,0
60,"11117 SURREY HILLS BLVD,YUKON,OK,73099",1,0,0,17,35.59178661,-97.7233705,0,0
61,"11117 SURREY HILLS BLVD.,YUKON,OK,73099",1,0,0,17,35.59178661,-97.7233705,0,0
62,"1112 N WALKER AVE, STE. 103,OKC,OK,73103",1,0,0,109,35.4793283,-97.5205695,0,0
63,"1112 RAMBLING OAKS DRIVE,NORMAN,OK,73072",1,0,1,27,35.23066916,-97.49109705,0,0
64,"1113 HUNTINGTON AVENUE,OKC,OK,73116",1,0,0,109,35.5492936,-97.5325702,0,0
65,"1116 NW ARLINGTON AVE,LAWTON,OK,73507",1,0,0,31,34.60976619,-98.40554485,0,0
66,"1117 NW 32ND STREET,NEWCASTLE,OK,73065",2,0,0,87,35.25212995,-97.61209174,0,0
67,"1119 N COUNCIL ROAD,BLANCHARD,OK,73010",1,0,0,51,35.10621257,-97.67844358,0,0
68,"1119 WALNUT DRIVE #3,ARDMORE,OK,73401",1,0,0,19,34.1871886,-97.1486972,0,0
69,"112 N ELM,BRISTOW,OK,74010",1,0,0,37,35.81372373,-96.36304934,0,0
70,"112 NW KATHERINE AVE. APT A,BARTLESVILLE,OK,74006",1,0,0,147,36.75727458,-95.93882233,0,0
71,"112 VAL VERDE,ALTUS,OK,73521",1,0,0,65,34.64080854,-99.31606153,0,0
72,"112 W MAPLE STREET,CORDELL,OK,73632",1,0,0,149,35.27185751,-98.92740122,0,0
73,"11205 N MAY AVE., STE. A,OKC,OK,73120",1,0,0,109,35.58042305,-97.57223397,0,0
74,"11208 S. KINGSTON AVE,TULSA,OK,74137",1,0,0,143,36.00093639,-95.90724539,0,0
75,"11212 N MAY, STE. #210,OKC,OK,73120",1,0,0,109,35.58042305,-97.57223397,0,0
76,"11212 NORTH MAY AVENUE,OKC,OK,73120",1,0,0,109,35.58042305,-97.57223397,0,0
77,"11225 W RENO, STE. A,YUKON,OK,73099",1,0,0,17,35.52825735,-97.76234719,0,0
78,"11317 S WESTERN #500,OKC,OK,73170",1,0,0,27,35.32737707,-97.55059915,0,0
79,"11317 S WESTERN AVE. #100-A,OKC,OK,73170",0,0,1,27,35.35543136,-97.53009846,0,0
80,"11317 S WESTERN, STE. #400,OKC,OK,73170",1,0,0,27,35.3548455,-97.5305314,0,0
81,"11318 N MAY AVENUE, STE. B,OKC,OK,73120",1,0,0,109,35.58042305,-97.57223397,0,0
82,"1137 E KENOSHA,BROKEN ARROW,OK,74012",1,0,0,143,36.05361097,-95.80493789,0,0
83,"1141 NW 1ST ST,OKC,OK,73106",1,0,0,109,35.48196805,-97.53681176,0,0
84,"1141 SONOMA PARK DR,NORMAN,OK,73071",1,0,0,27,35.2317801,-97.4220558,0,0
85,"11417 TWISTED OAK RD,OKC,OK,73120",1,0,0,109,35.5868385,-97.5759016,0,0
86,"115 M ST SW,ARDMORE,OK,73401",1,0,0,19,34.20306698,-97.11482152,0,0
