idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"#2 POINTE CIR,GREENVILLE,SC,29615",0,0,1,45,34.8558327,-82.29514313,0,0
1,"1 CASSINA LANE,HILTON HEAD ISLAND,SC,29928",0,0,1,13,32.16647486,-80.75694072,0,0
2,"1 CHARIS DR,GREENVILLE,SC,29615-6615",2,0,1,45,34.8623576,-82.2744848,0,0
3,"1 MARKET,BEAUFORT,SC,29906",1,0,0,13,32.44677808,-80.75026334,0,0
4,"1 NIGHTSHADE LN,BLUFFTON,SC,29909-4079",1,0,0,13,32.33845716,-80.84609589,0,0
5,"1 PLAZA DR,LUGOFF,SC,29078-9384",1,0,0,55,34.23248247,-80.67705081,0,0
6,"1 SPARROW NEST POINT,ST HELENA ISLAND,SC,29920",1,0,0,13,32.36623069,-80.54208748,0,0
7,"1 W PRENTISS AVE,GREENVILLE,SC,29605-4029",2,0,0,45,34.8311545,-82.4033867,0,0
8,"10 ATRIUM RIDGE CT,COLUMBIA,SC,29223-6438",1,0,0,79,34.09241717,-80.92139958,0,0
9,"10 CLEVELAND COURT,GREENVILLE,SC,29607",1,0,1,45,34.8237224,-82.3776683,0,0
10,"10 CLEVELAND COURT,GREENVILLE,SC,29607-2495",0,0,1,45,34.8237224,-82.3776683,0,0
11,"10 CLEVELAND CT,GREENVILLE,SC,29607-2414",0,0,1,45,34.8237224,-82.3776683,0,0
12,"10 ENCLAVE CT,COLUMBIA,SC,29223-3259",1,0,0,79,34.09626266,-80.87304938,0,0
13,"10 FARMFIELD AVE,CHARLESTON,SC,29407-7756",0,0,1,19,32.782472,-79.9949379,0,0
14,"10 LONG HILL ST,GREENVILLE,SC,29605-2011",1,0,0,45,34.8109388,-82.391134,0,0
15,"10 MANLY STREET,GREENVILLE,SC,29601",1,0,0,45,34.84774996,-82.40274292,0,0
16,"10 PLANTATION PARK DR,BLUFFTON,SC,29910",1,0,0,13,32.272801,-80.86943089,0,0
17,"10 PROFESSIONAL VILLAGE CIR,BEAUFORT,SC,29907-1569",0,0,1,13,32.41571246,-80.6517312,0,0
18,"10 ROSE HILL DR,BLUFFTON,SC,29910-4718",1,0,0,13,32.29109702,-80.87660794,0,0
19,"10 TEA OLIVE COURT,AIKEN,SC,29803-3756",0,0,1,3,33.42172763,-81.68043601,0,0
20,"10 WESTEDGE STREET,CHARLESTON,SC,29403",0,0,1,19,32.80455844,-79.94391812,0,0
21,"10-D FARMFIELD AVE,CHARLESTON,SC,29407-7756",1,0,0,19,32.78273461,-79.99484237,0,0
22,"100 BERKELEY SQUARE LN.,GOOSE CREEK,SC,29445",1,0,0,15,32.99779817,-79.99008954,0,0
23,"100 COMMONS BLVD,PIEDMONT,SC,29673-7766",2,0,0,7,34.7852912,-82.4749669,0,0
24,"100 CORBIN CT,SIX MILE,SC,29682-4006",1,0,0,77,34.82029808,-82.87807973,0,0
