idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"-,-,TN,37115",1,0,0,37,36.25447681,-86.69605629,0,0
1,"-,CHATTANOOGA,TN,37343",1,0,0,65,35.16866203,-85.20926538,0,0
2,"-,CHATTANOOGA,TN,37402",1,0,1,65,35.04363157,-85.3183569,0,0
3,"-,CHATTANOOGA,TN,37415",2,0,0,65,35.12730778,-85.28013716,0,0
4,"-,CLARKSVILLE,TN,37042",1,0,0,125,36.56910665,-87.41694877,0,0
5,"-,CLARKSVILLE,TN,37043",1,0,0,125,36.4958026,-87.23242622,0,0
6,"-,CLEVELAND,TN,37364",1,0,0,11,35.157291,-84.835529,0,0
7,"-,COOKEVILLE,TN,38501",2,0,0,141,36.22815193,-85.538425,0,0
8,"-,COVINGTON,TN,38019",0,0,1,167,35.56347566,-89.63023136,0,0
9,"-,DOVER,TN,37058",1,0,0,161,36.47882342,-87.87960839,0,0
10,"-,DRESDEN,TN,38225",1,0,0,183,36.32087447,-88.67905463,0,0
11,"-,DUNLAP,TN,37327",1,0,0,153,35.42282301,-85.40575614,0,0
12,"-,ELIZABETHTON,TN,37643",1,0,0,19,36.37733626,-82.13641851,0,0
13,"-,FRANKLIN,TN,37064",1,0,0,187,35.88751363,-86.95878863,0,0
14,"-,GALLATIN,TN,37066",1,0,0,165,36.39869711,-86.45526278,0,0
15,"-,GERMANTOWN,TN,38138",1,0,0,157,35.08482755,-89.79933451,0,0
16,"-,GOODLETTSVILLE,TN,37072",1,0,0,37,36.35753229,-86.74418434,0,0
17,"-,HENDERSONVILLE,TN,37075",1,0,0,165,36.34000554,-86.6065847,0,0
18,"-,HOHENWALD,TN,38462",1,0,0,101,35.53111374,-87.55161119,0,0
19,"-,HUNTINGDON,TN,38344",1,0,0,17,35.9782858,-88.42849779,0,0
20,"-,JACKSON,TN,38305",2,0,0,113,35.70198608,-88.76792469,0,0
21,"-,JEFFERSON CITY,TN,37760",1,0,0,89,36.11050381,-83.46449078,0,0
22,"-,JOHNSON CITY,TN,37601",1,0,0,179,36.33017936,-82.32136892,0,0
