idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"-,-,BASSETT,VA,24055",1,0,0,89,36.75708127,-79.99954614,0,0
1,"1 CHARLTON DR.,-,HAMPTON,VA,23666",1,0,0,650,37.04420511,-76.37380864,0,0
2,"1 CHARLTON DRIVE,-,HAMPTON,VA,23666",1,0,0,650,37.04420511,-76.37380864,0,0
3,"1 FARMINGTON BLVD,-,HAMPTON,VA,23666",1,0,0,650,37.04296481,-76.44164526,0,0
4,"10 CHATHAM HEIGHTS,-,FREDERICKSBURG,VA,22405",1,0,0,179,38.31524008,-77.40383386,0,0
5,"10 ROCK POINTE LANE,-,WARRENTON,VA,20186",1,0,0,61,38.7226268,-77.791061,0,0
6,"10 ROCK POINTE LN, STE 5,-,WARRENTON,VA,20186",0,0,1,61,38.7226268,-77.791061,0,0
7,"100 ARBOR OAK DRIVE, #101,-,ASHLAND,VA,23005",1,0,0,85,37.75337753,-77.46957536,0,0
8,"100 CHICUREL LANE,-,WAYNESBORO,VA,22980",0,0,1,15,38.09564068,-78.88518142,0,0
9,"100 CHURCH ST NE,-,VIENNA,VA,22180",0,0,1,59,38.89651649,-77.2548143,0,0
10,"100 EMANCIPATION DR,-,HAMPTON,VA,23667",1,0,0,650,37.02253726,-76.33076273,0,0
11,"100 EMANCIPATION DRIVE,-,HAMPTON,VA,23667",2,0,0,650,37.02253726,-76.33076273,0,0
12,"100 OLD FRAZIERS TRL,-,WEST POINT,VA,23181",1,0,0,101,37.59890555,-76.88953031,0,0
13,"100 PARKSIDE DR,-,BRIDGEWATER,VA,22812",1,0,0,165,38.38485964,-78.96522075,0,0
14,"100 PARKSIDE DRIVE,-,BRIDGEWATER,VA,22812",1,0,0,165,38.38485964,-78.96522075,0,0
15,"100 PURCELLVILLE GATEWAY DR,-,PURCELLVILLE,VA,20132",1,0,0,107,39.13561683,-77.69403883,0,0
16,"100 RUGBY ST.,-,FRONT ROYAL,VA,22630",1,0,0,187,38.92857537,-78.17658903,0,0
17,"100 WALKER MILL TRAIL,-,EMPORIA,VA,23847",1,0,0,81,36.67038955,-77.55065903,0,0
18,"100-D PURCELLVILLE GATEWAY DRIVE,-,PURCELLVILLE,VA,20132",1,0,0,107,39.13561683,-77.69403883,0,0
19,"1000 FIRST COLONIAL RD,-,VIRGINIA BEACH,VA,23454",1,0,0,810,36.82664813,-76.02489088,0,0
20,"1000 FIRST COLONIAL RD,SUITE #104,VIRGINIA BEACH,VA,23454",1,0,0,810,36.82664813,-76.02489088,0,0
21,"1000 FIRST COLONIAL RD,SUITE 104,VIRGINIA BEACH,VA,23454",1,0,0,810,36.82664813,-76.02489088,0,0
22,"1000 FIRST COLONIAL ROAD, SUITE 104,-,VIRGINIA BEACH,VA,23454",1,0,0,810,36.82664813,-76.02489088,0,0
23,"1000 KIMBERWICKE ROAD,-,MCLEAN,VA,22102",0,0,1,59,38.9593902,-77.2346311,0,0
24,"1000 LAKEFRONT COMMONS,APT 106,NEWPORT NEWS,VA,23606",1,0,0,700,37.0887099,-76.4729623,0,0
25,"1000 WILSON BLVD,SUITE M745,ARLINGTON,VA,22209",1,0,0,13,38.8939611,-77.0688386,0,0
26,"10001 GEORGETOWN PIKE, UNIT 1303,-,GREAT FALLS,VA,22066",1,0,0,59,39.00893362,-77.30029613,0,0
27,"1001 N FAIRFAX ST SUITE 100,-,ALEXANDRIA,VA,22314",1,0,0,510,38.8150262,-77.0397831,0,0
28,"1001 N. FAIRFAX ST.,SUITE 100,ALEXANDRIA,VA,22314",1,0,0,510,38.8150262,-77.0397831,0,0
29,"1001 W NINE MILE ROAD,-,HIGHLAND SPRINGS,VA,23075",1,0,0,87,37.54865397,-77.31765866,0,0
30,"1001 WEST NINE MILE RD,-,HIGHLAND SPRINGS,VA,23075",1,0,0,87,37.54865397,-77.31765866,0,0
31,"1002 AMHERST ST,BUILDING B,WINCHESTER,VA,22601",1,0,0,840,39.18968081,-78.17990966,0,0
32,"1002 AMHERST STREET,BLDG B,WINCHESTER,VA,22601",1,0,0,840,39.18968081,-78.17990966,0,0
33,"1002 AMHERST STREET,SUITE A,WINCHESTER,VA,22601",1,0,1,840,39.18968081,-78.17990966,0,0
34,"1002 AMHERST,BLDG B,WINCHESTER,VA,22601",1,0,0,840,39.18887269,-78.17991916,0,0
